NAME	Cancer	CD14	CD19	CD4_Eff	CD56	CD8	Endothelial	Eos	Fibroblast	Neu	Treg
cg00008647	3.00234445828	4.31607927314624	15.5048778162722	1.97599702728822	41.0713808697867	38.7494232667619	2.85768901236351	3.26263463527013	3.01312667485072	3.57922456453826	2.88717864090794
cg00015530	95.152766074	8.10259886730089	6.40454630453262	4.94515596522477	8.75688060462048	7.93461967275615	96.2119530443993	5.75024238946034	96.8312774237667	6.29353859636215	5.42862523670804
cg00027232	88.74392494645	49.5399619449781	92.0026510006007	91.3570941511339	85.8709515103689	91.6744882092793	94.5788433086287	73.2706045751374	87.1513018024356	35.6496147421003	90.4772588352365
cg00028135	10.8713140336	78.6800985150889	91.9199380027111	94.0856483147173	88.9015247490734	92.4806284682946	2.86186314762508	84.8054392885598	2.5995798551765	85.9301860976206	90.9850852005034
cg00045114	89.95634513805	43.8380742610694	38.0585640410435	70.5108982619631	7.55454013246381	11.4886122188558	89.9779981141063	68.0043990978397	91.920711560617	54.689360519568	83.9538286174346
cg00052964	94.5783444484	90.1758650961738	94.9293615719785	40.6432486117529	94.0253834334305	80.6585642452151	94.8876036664777	95.2294406888312	95.2070304560476	95.2504448588829	48.9081386365418
cg00054352	96.43878140195	94.5242012584593	91.8062743668483	97.0401650360583	49.3023545628715	80.0028332981828	97.6645675792255	93.9498197236209	95.7089029814402	94.0842939344878	97.2629575293606
cg00058449	96.8572897466	23.3230312567196	91.4851254289692	29.3696056422257	3.84164717064185	10.3544447842347	98.5994080797384	8.98195434732829	98.0523528864521	10.4871454249974	53.6622950191094
cg00078245	90.75972455365	85.6143557099918	63.4258380334859	27.4147121283633	76.8303268002004	44.6547659162318	94.4926608684096	68.9429538534782	80.666776444977	74.7482349621456	28.7378174169191
cg00081799	95.6777148447	96.4497389659035	96.6120121711499	96.4882272167307	96.3013945447772	96.0519545934113	94.701717590323	96.5557508635338	13.6332973352438	96.6034564495605	95.9178099458022
cg00084577	95.04098068085	81.6839520790072	89.4185966955781	94.1917785249679	90.4892673583701	90.5460286420959	90.6846435896202	25.1944590432614	90.2661458841576	13.8427032867493	91.6133739604279
cg00093433	84.5225687841	25.7306788284051	18.1086611785028	43.4490774685464	17.6923800183278	28.3716671526187	78.4924736634436	65.241835958014	78.3841343255587	57.0851023907559	8.348977587059
cg00099519	91.2271114629	89.3663757541062	83.2032989946579	90.8608780578314	82.9819390822897	77.1888230313118	90.5049340308816	89.9540960817296	79.3539928315008	88.8694321749736	60.8746049291209
cg00114710	92.1752795703	95.5700359822058	95.8127838512545	95.5694531233153	95.6605523542948	95.091862805184	6.23342077885093	95.7708098045049	94.1917622191373	95.8200743088968	94.2863844616526
cg00141162	75.5455904347	3.24194062221352	3.15994004654453	3.25663448964295	2.99907956727376	3.03449072395346	3.33961084697288	3.6337095818496	50.7149889195703	3.62462737406431	2.69374784900694
cg00142036	11.02829745215	79.3814183937521	87.1805611566372	88.6522452679968	90.5001521063388	91.5161741291798	5.00518901292797	74.3099630376541	3.24151243894107	77.8981311926554	90.4912701208951
